================ Training Loss (Tue Mar 10 10:18:41 2026) ================
================ Training Loss (Tue Mar 10 10:18:41 2026) ================
(epoch: 1, iters: 0, time: 0.372, data: 0.010) G_A: 142.794 G_B: 25102.553 D_A: 41048.570 D_B: 12716.465 cycle_A: 91.039 cycle_B: 6002.842 feedback_A: 4313.141 feedback_B: 488.376 idt_A: 2352.905 idt_B: 35.990 
(epoch: 1, iters: 0, time: 0.400, data: 0.009) G_A: 142.794 G_B: 25102.553 D_A: 41048.570 D_B: 12716.465 cycle_A: 91.039 cycle_B: 6002.842 feedback_A: 4313.141 feedback_B: 488.376 idt_A: 2352.905 idt_B: 35.990 
(epoch: 1, iters: 10, time: 0.016, data: 0.008) G_A: 55.189 G_B: 31732.588 D_A: 50173.164 D_B: 15688.723 cycle_A: 20.302 cycle_B: 1388.881 feedback_A: 2812.882 feedback_B: 435.421 idt_A: 528.845 idt_B: 14.927 
(epoch: 1, iters: 10, time: 0.015, data: 0.008) G_A: 55.189 G_B: 31732.588 D_A: 50173.164 D_B: 15688.723 cycle_A: 20.302 cycle_B: 1388.881 feedback_A: 2812.882 feedback_B: 435.421 idt_A: 528.845 idt_B: 14.927 
(epoch: 1, iters: 20, time: 0.015, data: 0.008) G_A: 1.199 G_B: 30431438.000 D_A: 10371.651 D_B: 15210203.000 cycle_A: 9.547 cycle_B: 1244.458 feedback_A: 3123.303 feedback_B: 402.056 idt_A: 467.124 idt_B: 11.399 
(epoch: 1, iters: 20, time: 0.015, data: 0.008) G_A: 1.199 G_B: 30431438.000 D_A: 10371.651 D_B: 15210203.000 cycle_A: 9.547 cycle_B: 1244.458 feedback_A: 3123.303 feedback_B: 402.056 idt_A: 467.124 idt_B: 11.399 
(epoch: 1, iters: 30, time: 0.015, data: 0.008) G_A: 4.092 G_B: 331715.031 D_A: 2987.326 D_B: 165282.203 cycle_A: 6.966 cycle_B: 1066.302 feedback_A: 3212.672 feedback_B: 400.504 idt_A: 608.122 idt_B: 4.396 
(epoch: 1, iters: 30, time: 0.016, data: 0.008) G_A: 4.092 G_B: 331715.031 D_A: 2987.326 D_B: 165282.203 cycle_A: 6.966 cycle_B: 1066.302 feedback_A: 3212.672 feedback_B: 400.504 idt_A: 608.122 idt_B: 4.396 
(epoch: 1, iters: 40, time: 0.015, data: 0.008) G_A: 18.118 G_B: 1647861.375 D_A: 265050.594 D_B: 822647.625 cycle_A: 8.798 cycle_B: 655.142 feedback_A: 2542.688 feedback_B: 331.069 idt_A: 452.607 idt_B: 6.107 
(epoch: 1, iters: 40, time: 0.016, data: 0.008) G_A: 18.118 G_B: 1647861.375 D_A: 265050.594 D_B: 822647.625 cycle_A: 8.798 cycle_B: 655.142 feedback_A: 2542.688 feedback_B: 331.069 idt_A: 452.607 idt_B: 6.107 
(epoch: 2, iters: 0, time: 0.015, data: 0.008) G_A: 0.938 G_B: 5118351.500 D_A: 90102.820 D_B: 2556916.250 cycle_A: 6.546 cycle_B: 543.332 feedback_A: 2657.062 feedback_B: 409.741 idt_A: 349.959 idt_B: 8.809 
(epoch: 2, iters: 0, time: 0.016, data: 0.009) G_A: 0.938 G_B: 5118351.500 D_A: 90102.820 D_B: 2556916.250 cycle_A: 6.546 cycle_B: 543.332 feedback_A: 2657.062 feedback_B: 409.741 idt_A: 349.959 idt_B: 8.809 
(epoch: 2, iters: 10, time: 0.015, data: 0.008) G_A: 2.810 G_B: 4787835.500 D_A: 20047.510 D_B: 2391730.250 cycle_A: 5.874 cycle_B: 708.372 feedback_A: 2441.904 feedback_B: 428.601 idt_A: 450.853 idt_B: 4.514 
(epoch: 2, iters: 10, time: 0.016, data: 0.008) G_A: 2.810 G_B: 4787835.500 D_A: 20047.510 D_B: 2391730.250 cycle_A: 5.874 cycle_B: 708.372 feedback_A: 2441.904 feedback_B: 428.601 idt_A: 450.853 idt_B: 4.514 
(epoch: 2, iters: 20, time: 0.015, data: 0.008) G_A: 12.111 G_B: 112654.812 D_A: 25132.471 D_B: 55992.273 cycle_A: 5.296 cycle_B: 421.082 feedback_A: 2005.557 feedback_B: 458.140 idt_A: 280.501 idt_B: 4.514 
(epoch: 2, iters: 20, time: 0.016, data: 0.008) G_A: 12.111 G_B: 112654.812 D_A: 25132.471 D_B: 55992.273 cycle_A: 5.296 cycle_B: 421.082 feedback_A: 2005.557 feedback_B: 458.140 idt_A: 280.501 idt_B: 4.514 
(epoch: 2, iters: 30, time: 0.015, data: 0.008) G_A: 4.744 G_B: 267336.906 D_A: 284305.344 D_B: 134186.125 cycle_A: 6.087 cycle_B: 502.315 feedback_A: 2162.171 feedback_B: 463.962 idt_A: 383.637 idt_B: 3.527 
(epoch: 2, iters: 30, time: 0.016, data: 0.008) G_A: 4.744 G_B: 267336.906 D_A: 284305.344 D_B: 134186.125 cycle_A: 6.087 cycle_B: 502.315 feedback_A: 2162.171 feedback_B: 463.962 idt_A: 383.637 idt_B: 3.527 
(epoch: 2, iters: 40, time: 0.015, data: 0.008) G_A: 0.000 G_B: 1220360.625 D_A: 9441.464 D_B: 611285.500 cycle_A: 4.182 cycle_B: 438.589 feedback_A: 1944.828 feedback_B: 428.703 idt_A: 304.540 idt_B: 2.909 
(epoch: 2, iters: 40, time: 0.016, data: 0.008) G_A: 0.000 G_B: 1220360.625 D_A: 9441.464 D_B: 611285.500 cycle_A: 4.182 cycle_B: 438.589 feedback_A: 1944.828 feedback_B: 428.703 idt_A: 304.540 idt_B: 2.909 
(epoch: 3, iters: 0, time: 0.015, data: 0.008) G_A: 16.518 G_B: 2033351.375 D_A: 317609.031 D_B: 1015250.438 cycle_A: 6.642 cycle_B: 475.860 feedback_A: 2784.323 feedback_B: 469.817 idt_A: 329.580 idt_B: 4.091 
